Bavardages répétés
Refuse de changer de place 
N'a pas son matériel
S'esclaffe en cours
Dort en classe
Casquette + Pas Bonjour
Fait des bruits d'animaux
Devoirs non faits
Se retourne vers ses camarades
Parle fort
Fait rire ses camarades
Répond au professeur
Refuse de donner son carnet 
N'a pas son carnet
Utilisation abusive d'Internet
